co2_ppm,humidity_pct,light_lux,nh3_ko,oxidised_ko,pm10_ugm3,pm1_uhm3,pm25_ugm3,pressure_inhg,reduced_ko,temperature_f,timestamp
986.0,26.155010444510438,43.6711,134.60143105782248,26.858343841950393,4.0,1.0,2.0,25.190505819415367,340.9391864679824,85.67555836837002,2026-03-30T16:23:00.947451
986.0,26.130657218754227,45.81035,134.63829787234044,26.872277810476746,2.0,0.0,1.0,25.190379064413097,341.41935483870975,85.99132301995395,2026-03-30T16:23:06.168685
986.0,26.216956650918366,44.6485,134.7120743034056,26.886216466234963,3.0,1.0,3.0,25.190089931868535,341.7401129943504,85.66411363382511,2026-03-30T16:23:11.400406
985.0,26.21794328109874,43.6711,134.63829787234044,26.872277810476746,2.0,0.0,2.0,25.190163906351586,340.9391864679824,85.85735684043412,2026-03-30T16:23:16.641527
986.0,26.217489696510743,43.6711,134.7120743034056,26.858343841950393,3.0,0.0,3.0,25.19075130667456,340.30076397265793,85.51330350958207,2026-03-30T16:23:21.863409
984.0,26.192348960376293,45.81035,134.7120743034056,26.858343841950393,3.0,0.0,3.0,25.19112307957999,341.7401129943504,85.35887044428914,2026-03-30T16:23:27.102308
984.0,26.239669964408986,45.81035,135.304347826087,26.94899848510352,2.0,0.0,2.0,25.19029565952276,343.67558799675606,85.11525665889809,2026-03-30T16:23:32.327424
984.0,26.306718156742516,45.81035,135.15593483320404,26.95598013635216,2.0,0.0,2.0,25.191001291485918,343.67558799675606,85.41926580667662,2026-03-30T16:23:37.567477
983.0,26.282399474994453,45.81035,134.7859078590786,26.921083627797408,3.0,0.0,2.0,25.190849966362737,341.7401129943504,85.63737891795571,2026-03-30T16:23:42.795735
981.0,26.216253346056444,44.6485,134.7120743034056,26.886216466234963,2.0,0.0,2.0,25.190489210018075,340.779388083736,85.69930997792082,2026-03-30T16:23:48.029985
979.0,26.282614097737635,42.50925,134.89676544644587,26.886216466234963,2.0,0.0,2.0,25.1902923512547,341.41935483870975,85.63768971873746,2026-03-30T16:23:53.243138
981.0,26.283235290789435,43.6711,134.82284607938047,26.907133243606996,3.0,0.0,3.0,25.19080858368058,341.57966922146034,85.51227362175246,2026-03-30T16:23:58.461413
980.0,26.217047388469652,45.81035,134.859798605732,26.907133243606996,3.0,0.0,2.0,25.191142130073064,341.2591696896414,85.54550765476944,2026-03-30T16:24:03.722559
979.0,26.179191018295892,44.6485,135.00775193798452,26.928060580563734,4.0,0.0,3.0,25.19127382584801,342.54427820460995,85.80449073348035,2026-03-30T16:24:08.952842
979.0,26.190496407895644,40.79405,135.15593483320404,26.95598013635216,4.0,0.0,3.0,25.19152945636163,342.22222222222234,85.86146734536,2026-03-30T16:24:14.172962
977.0,26.184650301029787,45.6259,135.9003115264798,27.01187568432578,3.0,0.0,2.0,25.191200123977143,343.83772819472637,85.95086136065274,2026-03-30T16:24:19.415541
976.0,26.27523158955356,44.83295,135.34148708988548,26.969946965232765,3.0,0.0,3.0,25.191356389916116,343.1899554475498,86.08764287417212,2026-03-30T16:24:24.655576
976.0,26.24541381049227,44.83295,135.26722297690668,26.94899848510352,3.0,0.0,3.0,25.191058784301237,342.38318512530327,85.75329436959223,2026-03-30T16:24:29.847577
976.0,26.245572371822274,44.83295,135.26722297690668,26.962962962962962,3.0,0.0,3.0,25.191345960691553,342.70550161812315,85.90173390189969,2026-03-30T16:24:35.095596
974.0,26.2454591145482,43.85555,135.49018845929672,27.025861342768096,3.0,0.0,2.0,25.19083047618535,344.48760666395793,85.66421114492789,2026-03-30T16:24:40.332836
973.0,26.28833535693973,43.85555,135.45299145299148,27.046848668688916,4.0,0.0,3.0,25.190343415498752,344.00000000000017,85.4613789179557,2026-03-30T16:24:45.561044
971.0,26.269905865707823,46.9722,135.23011253395424,27.039851714550515,3.0,0.0,3.0,25.190471826871455,343.0283400809718,85.85879502697107,2026-03-30T16:24:50.782593
971.0,26.22108940458498,44.83295,135.45299145299148,27.060846114950284,2.0,0.0,2.0,25.190216544442162,343.513579246048,85.61693026322213,2026-03-30T16:24:56.021701
969.0,26.25119174293445,44.83295,136.1996879875195,27.158960512993588,2.0,0.0,2.0,25.190126857671316,345.4663951120165,85.49285483786412,2026-03-30T16:25:01.253220
968.0,26.275367245665546,44.83295,136.3872730821784,27.215130023640665,2.0,0.0,2.0,25.1904853008304,345.7937219730944,85.81347642533113,2026-03-30T16:25:06.465919
968.0,26.269453559056963,44.83295,136.08731241473396,27.22918425941564,1.0,0.0,1.0,25.19023027581649,345.9575856443722,85.3613476871577,2026-03-30T16:25:11.722142
967.0,26.214460341484912,44.83295,136.1996879875195,27.24324324324325,3.0,0.0,2.0,25.190280984306803,344.48760666395793,85.2377781319891,2026-03-30T16:25:16.959348
966.0,26.146929955764843,44.83295,136.3121951219512,27.27137546468402,4.0,0.0,3.0,25.19030023727607,344.81333875559193,85.55879905678131,2026-03-30T16:25:22.172512
964.0,26.128431151768005,42.6937,136.23717573629798,27.25027451642876,4.0,0.0,3.0,25.190536387013577,344.48760666395793,85.51234397932969,2026-03-30T16:25:27.438016
961.0,26.183171530270595,39.0237,136.3121951219512,27.25027451642876,5.0,0.0,5.0,25.190691049927853,345.629991850041,85.59420863558591,2026-03-30T16:25:32.666254
961.0,26.135031343340927,43.72625,136.5,27.278411491339256,5.0,0.0,5.0,25.1909698368107,345.4663951120165,85.91245055402815,2026-03-30T16:25:37.885365
959.0,26.104415377877437,43.3022,136.5,27.292487112313022,4.0,0.0,4.0,25.19105144077103,346.12158302733604,85.89933620246127,2026-03-30T16:25:43.099658
